Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Clicks,Impressions,Engagement_Score,Customer_Segment
Instagram,0.11,797.31,3.27,2512,8960,2,Home
Facebook,0.04,6429.0,6.28,16656,50857,8,Fashion
Instagram,0.03,989.37,4.15,2842,9938,9,Health
Pinterest,0.06,12571.52,1.086783363,19541,64610,1,Home
Twitter,0.14,3301.28,0.23,8161,25694,8,Fashion
Facebook,0.07,500.0,5.58,1170,4987,10,Health
Pinterest,0.04,2613.49,0.396818925,3754,13207,1,Home
Twitter,0.02,9009.38,1.92,23655,71586,4,Technology
Pinterest,0.03,15000.0,0.682814547,23031,75974,1,Technology
Twitter,0.13,3458.03,4.83,8571,26909,9,Fashion
Facebook,0.12,7312.24,3.87,19041,57921,7,Health
Twitter,0.12,12384.46,2.75,32786,98632,5,Health
Twitter,0.03,5681.79,7.92,14631,44856,3,Food
Pinterest,0.14,11786.19,0.044686816,18333,60676,1,Health
Pinterest,0.15,4929.63,0.743588617,7390,25047,1,Technology
Facebook,0.12,1999.86,3.35,4902,16041,4,Technology
Pinterest,0.07,1974.04,0.959872806,2843,10238,1,Home
Pinterest,0.05,6285.8,0.355707055,9554,32092,1,Health
Instagram,0.01,7083.35,2.41,18423,56089,4,Home
Twitter,0.07,13457.39,2.71,35482,106618,9,Technology
Pinterest,0.11,12230.94,0.318170129,19020,62913,1,Food
Instagram,0.12,11468.93,6.28,30358,91442,10,Food
Facebook,0.04,4692.42,6.73,11935,36873,3,Health
Facebook,0.08,10525.69,2.15,27781,83808,10,Fashion
Pinterest,0.02,3043.36,1.006347094,4399,15308,1,Fashion
Twitter,0.08,9118.96,2.5,23944,72442,7,Technology
Facebook,0.1,1570.84,1.64,3956,13238,8,Fashion
Pinterest,0.07,3831.88,1.108233035,5627,19305,1,Fashion
Instagram,0.06,5677.68,6.2,14621,44827,2,Technology
Pinterest,0.09,9813.45,0.309232766,15185,50429,1,Health
Twitter,0.08,7379.94,4.27,19217,58441,2,Fashion
Instagram,0.14,4781.76,2.68,12178,37590,3,Technology
Twitter,0.11,500.0,0.68,1311,5404,10,Fashion
Pinterest,0.07,11777.51,0.720351473,18319,60631,1,Technology
Twitter,0.1,12889.59,0.25,34101,102527,8,Fashion
Pinterest,0.02,15000.0,0.464742886,23204,76539,1,Fashion
Instagram,0.01,6375.5,7.8,16513,50432,3,Fashion
Instagram,0.09,10052.76,3.06,26494,79997,9,Fashion
Facebook,0.13,6912.68,2.83,17962,54724,8,Home
Facebook,0.07,2634.29,0.67,6445,20611,7,Health
Facebook,0.09,14301.53,2.63,37275,111929,9,Fashion
Facebook,0.05,7383.9,5.2,19228,58473,7,Fashion
Twitter,0.1,14963.01,5.64,38356,115132,3,Food
Facebook,0.07,500.0,6.96,2009,7470,5,Fashion
Pinterest,0.03,15000.0,1.070696109,23091,76170,1,Food
Facebook,0.12,10032.27,4.51,26438,79829,10,Technology
Facebook,0.13,1566.71,4.93,3948,13213,9,Home
Facebook,0.02,6743.19,7.18,17496,53344,3,Fashion
Instagram,0.13,14558.62,1.78,37736,113295,3,Health
Pinterest,0.09,3869.12,0.087586159,5685,19496,1,Technology
Twitter,0.04,1730.0,3.05,4284,14210,7,Technology
Facebook,0.13,3692.6,3.91,9205,28786,9,Health
Twitter,0.14,11383.21,2.69,30120,90737,2,Food
Pinterest,0.08,13979.8,0.924123353,21510,71023,1,Food
Pinterest,0.09,9078.52,0.194834517,13997,46557,1,Food
Facebook,0.06,8289.34,6.0,21710,65826,5,Technology
Pinterest,0.02,8834.27,0.784700488,13614,45313,1,Fashion
Twitter,0.1,11690.96,0.74,30953,93203,7,Health
Facebook,0.07,14579.26,7.61,37771,113400,10,Home
Pinterest,0.06,11711.8,0.210921771,18211,60281,1,Home
Facebook,0.09,2998.05,2.35,7374,23363,10,Health
Twitter,0.02,3387.05,2.63,8390,26373,6,Food
Facebook,0.06,4051.65,2.51,10180,31673,10,Fashion
Facebook,0.14,10545.4,6.71,27832,83959,7,Home
Twitter,0.13,11748.12,4.32,31112,93675,5,Technology
Twitter,0.13,14790.75,4.61,38110,114404,2,Fashion
Instagram,0.13,8456.63,1.07,22169,67186,5,Fashion
Facebook,0.02,13334.51,0.46,35190,105754,6,Technology
Pinterest,0.08,1043.59,0.112610776,1727,6608,1,Fashion
Twitter,0.12,5547.29,0.09,14260,43759,6,Fashion
Pinterest,0.15,9699.38,0.409331234,14997,49815,1,Food
Twitter,0.07,10468.55,4.24,27630,83361,6,Food
Twitter,0.12,4221.79,4.63,10654,33078,8,Technology
Pinterest,0.1,5521.28,1.288767771,8334,28118,1,Home
Instagram,0.11,3564.33,7.52,8859,27761,6,Health
Twitter,0.13,6517.33,2.59,16892,51553,5,Food
Pinterest,0.11,11092.48,0.403968816,17224,57067,1,Home
Pinterest,0.08,7994.41,0.150147701,12274,40946,1,Technology
Pinterest,0.05,10820.19,0.187684627,16789,55649,1,Fashion
Pinterest,0.02,3146.41,0.373581781,4555,15816,1,Fashion
Instagram,0.08,13152.37,1.92,34752,104456,4,Home
Facebook,0.09,1865.0,4.39,4581,15088,3,Home
Pinterest,0.07,8957.51,1.018859403,13811,45951,1,Technology
Twitter,0.12,3089.87,5.69,7611,24063,2,Home
Twitter,0.12,12260.88,7.66,32462,97672,2,Food
Facebook,0.09,2846.24,2.21,6972,22170,9,Fashion
Instagram,0.04,13417.54,3.27,35387,106337,9,Fashion
Pinterest,0.06,11744.74,1.397803602,18267,60461,1,Food
Pinterest,0.11,12430.26,0.652427512,19326,63911,1,Food
Twitter,0.08,11143.13,1.92,29467,88801,6,Health
Instagram,0.09,3029.23,2.65,7458,23610,2,Technology
Facebook,0.12,7961.75,1.95,20809,63158,7,Home
Instagram,0.01,2046.86,1.54,5013,16368,7,Food
Instagram,0.06,1241.51,5.08,3301,11298,4,Food
Instagram,0.15,500.0,7.42,869,4093,4,Health
Pinterest,0.04,11026.78,0.507642229,17115,56714,1,Home
Pinterest,0.1,3772.56,0.652427512,5534,19001,1,Health
Instagram,0.08,11565.17,1.02,30622,92224,2,Health
Facebook,0.1,5356.58,7.43,13741,42222,3,Fashion
Twitter,0.15,11621.87,5.24,30772,92668,9,Fashion
Twitter,0.02,3106.23,3.6,7653,24189,5,Home
Twitter,0.15,12018.24,0.55,31816,95759,2,Health
Facebook,0.1,12757.68,0.06,33761,101520,1,Fashion
Facebook,0.1,1231.46,3.77,3282,11241,10,Home
Pinterest,0.04,9502.7,1.177944468,14675,48767,1,Home
Pinterest,0.12,3902.94,1.379928876,5739,19671,1,Home
Pinterest,0.14,5330.77,1.356691731,8030,27129,1,Home
Facebook,0.15,4676.07,4.96,11892,36744,1,Home
Instagram,0.03,7163.28,5.02,18642,56739,6,Health
Twitter,0.09,4884.96,6.06,12456,38416,2,Health
Facebook,0.09,7530.23,4.87,19627,59655,8,Fashion
Pinterest,0.09,4838.28,0.479042667,7242,24565,1,Home
Twitter,0.08,8157.83,6.0,21349,64756,10,Food
Facebook,0.05,8126.92,0.34,21265,64508,3,Food
Facebook,0.05,11435.24,2.51,30264,91161,8,Food
Pinterest,0.07,8537.29,0.527304428,13150,43803,1,Health
Twitter,0.08,10038.58,5.16,26453,79875,1,Fashion
Twitter,0.08,5595.56,5.19,14397,44164,6,Home
Facebook,0.03,5252.82,0.48,13465,41405,4,Fashion
Pinterest,0.06,5805.03,1.127895234,8788,29596,1,Food
Pinterest,0.04,3176.54,0.875861592,4601,15962,1,Health
Pinterest,0.05,9715.23,1.160069741,15023,49901,1,Fashion
Pinterest,0.09,8158.34,0.625615423,12539,41811,1,Food
Facebook,0.09,500.0,3.26,1341,5492,2,Fashion
Twitter,0.08,8622.16,0.06,22619,68517,4,Health
Instagram,0.04,12992.05,7.23,34359,103293,8,Technology
Twitter,0.14,12159.63,7.79,32188,96862,5,Technology
Facebook,0.04,2016.52,3.51,4941,16155,4,Health
Twitter,0.15,14923.07,0.05,38302,114973,1,Home
Facebook,0.02,9229.85,6.5,24246,73337,2,Health
Facebook,0.08,8766.83,2.87,23003,69655,1,Food
Instagram,0.07,6841.77,5.88,17766,54143,2,Fashion
Twitter,0.08,13266.0,0.77,35029,105277,6,Health
Instagram,0.08,13735.91,6.23,36104,108462,5,Technology
Facebook,0.06,8577.44,5.64,22500,68165,4,Health
Twitter,0.07,5812.1,0.58,14983,45899,7,Technology
Pinterest,0.03,8592.15,0.734651254,13237,44085,1,Health
Facebook,0.07,1331.39,6.92,3473,11807,10,Food
Instagram,0.05,7634.82,0.08,19910,60493,4,Home
Facebook,0.06,2310.34,0.0,5648,18251,9,Home
Twitter,0.14,12777.68,7.26,33814,101679,10,Food
Pinterest,0.14,500.0,0.355707055,298,1953,1,Fashion
Twitter,0.04,7824.23,7.57,20432,62040,1,Health
Pinterest,0.11,10074.45,0.900886209,15597,51766,1,Health
Instagram,0.11,10131.33,6.52,26717,80655,8,Home
Instagram,0.04,3473.93,7.88,8612,27030,2,Technology
Facebook,0.06,13261.25,0.34,35019,105246,1,Technology
Facebook,0.13,8124.06,7.08,21256,64482,7,Fashion
Pinterest,0.03,10859.5,0.387881562,16852,55856,1,Home
Facebook,0.12,9931.8,2.2,26163,79016,8,Home
Instagram,0.02,3608.27,6.42,8981,28122,1,Technology
Pinterest,0.13,15000.0,1.328092169,22677,74823,1,Food
Instagram,0.03,1561.0,3.47,3938,13184,4,Technology
Pinterest,0.14,8786.27,0.48798003,13541,45074,1,Home
Instagram,0.06,5034.79,0.07,12866,39628,10,Fashion
Pinterest,0.04,762.91,0.525516955,1445,5688,1,Health
Twitter,0.15,6504.44,6.75,16858,51453,8,Technology
Instagram,0.13,803.13,2.81,2522,8989,8,Food
Instagram,0.09,500.0,7.86,1942,7273,10,Health
Instagram,0.05,6220.77,1.47,16091,49183,2,Health
Twitter,0.04,6165.34,1.57,15945,48751,10,Fashion
Twitter,0.1,10433.92,4.31,27530,83066,7,Technology
Instagram,0.1,15000.0,3.42,39578,118751,3,Home
Instagram,0.12,2711.5,0.9,6634,21169,5,Home
Instagram,0.02,10494.47,0.28,27700,83569,7,Home
Facebook,0.09,9455.41,4.92,24852,75133,8,Fashion
Pinterest,0.09,2045.9,0.673877184,2943,10564,1,Home
Pinterest,0.1,7649.4,1.30842997,11716,39132,1,Technology
Facebook,0.05,13815.68,3.43,36280,108983,6,Health
Instagram,0.1,14660.24,0.81,37907,113800,9,Home
Instagram,0.12,5659.32,0.15,14571,44679,7,Fashion
Facebook,0.09,1139.33,6.73,3114,10743,5,Fashion
Twitter,0.05,14752.22,1.48,38051,114227,3,Technology
Instagram,0.02,8506.37,4.58,22304,67586,1,Health
Facebook,0.02,12685.69,5.65,33571,100959,2,Technology
Pinterest,0.01,3095.93,0.999197204,4478,15563,1,Health
Instagram,0.08,15000.0,1.73,38424,115334,2,Fashion
Pinterest,0.01,9518.18,0.221646607,14700,48846,1,Health
Pinterest,0.06,500.0,1.202969084,604,2951,1,Food
Pinterest,0.1,6995.76,0.107248358,10684,35771,1,Technology
Instagram,0.1,10112.87,4.58,26660,80488,2,Health
Pinterest,0.15,12158.54,0.5290919,18903,62534,1,Technology
Pinterest,0.11,4624.17,0.300295403,6901,23452,1,Fashion
Pinterest,0.02,6728.09,0.697114328,10251,34363,1,Food
Facebook,0.03,9396.63,6.21,24694,74665,4,Technology
Instagram,0.02,999.5,2.28,2861,9995,6,Fashion
Instagram,0.07,6327.41,4.06,16386,50055,4,Health
Pinterest,0.13,9592.78,1.401378547,14820,49238,1,Food
Facebook,0.11,5603.52,2.13,14419,44228,10,Food
Twitter,0.03,12010.8,6.09,31797,95704,9,Fashion
Pinterest,0.06,5735.34,0.418268597,8676,29232,1,Food
Pinterest,0.03,500.0,0.806150159,370,2187,1,Fashion
Twitter,0.12,15000.0,5.37,38694,116132,9,Technology
Twitter,0.1,3394.56,7.32,8409,26427,10,Fashion
Facebook,0.13,7319.59,1.69,19060,57976,3,Technology
Twitter,0.08,4057.49,3.88,10196,31720,8,Technology
Facebook,0.11,2039.68,5.17,4996,16317,9,Food
Pinterest,0.1,11802.21,0.210921771,18358,60758,1,Technology
Pinterest,0.08,2984.3,1.215481393,4306,15004,1,Fashion
Pinterest,0.08,5612.36,0.021449672,8483,28604,1,Fashion
Twitter,0.1,13117.22,0.33,34666,104202,7,Health
Pinterest,0.07,15000.0,0.58271608,23215,76572,1,Fashion
Twitter,0.04,15000.0,5.1,39279,117865,5,Food
Twitter,0.1,5834.75,6.25,15044,46081,6,Health
Instagram,0.07,2285.53,7.85,5588,18071,10,Home
Facebook,0.03,2882.39,0.76,7070,22462,9,Home
Twitter,0.13,9259.79,7.69,24324,73568,10,Food
Instagram,0.09,12665.42,6.02,33520,100806,10,Technology
Pinterest,0.05,9622.11,0.627402895,14869,49397,1,Health
Facebook,0.04,1932.96,2.26,4742,15567,2,Fashion
Twitter,0.15,4534.29,7.76,11505,35597,5,Health
Pinterest,0.14,5220.69,1.063546219,7858,26570,1,Technology
Pinterest,0.04,10961.73,0.947360497,17011,56375,1,Home
Instagram,0.12,8710.15,2.04,22853,69212,1,Technology
Twitter,0.15,5551.13,7.97,14271,43792,10,Food
Instagram,0.08,13930.25,3.38,36524,109705,4,Health
Facebook,0.15,11245.9,1.62,29750,89640,9,Health
Twitter,0.02,12570.62,6.62,33268,100061,4,Home
Pinterest,0.15,11841.79,0.722138945,18416,60947,1,Food
Facebook,0.09,10782.26,3.39,28479,85877,9,Fashion
Twitter,0.06,3931.69,0.71,9854,30707,1,Food
Pinterest,0.06,4142.47,0.570203771,6126,20929,1,Health
Pinterest,0.07,11136.2,0.790062905,17295,57297,1,Fashion
Pinterest,0.06,2349.03,0.328894965,3373,11965,1,Fashion
Pinterest,0.03,12826.15,0.473680249,19935,65892,1,Food
Pinterest,0.03,8810.66,0.096523522,13577,45193,1,Home
Pinterest,0.05,3365.22,1.422828219,4894,16917,1,Health
Pinterest,0.05,10449.82,0.219859134,16195,53714,1,Home
Facebook,0.12,2758.4,0.97,6756,21532,2,Food
Facebook,0.1,12736.08,6.2,33703,101348,9,Home
Pinterest,0.01,4598.95,0.890161373,6859,23317,1,Technology
Facebook,0.06,12023.24,2.21,31829,95799,10,Fashion
Instagram,0.1,8778.69,2.02,23035,69751,4,Food
Pinterest,0.06,4559.07,1.104658089,6795,23108,1,Fashion
Twitter,0.03,14081.9,0.9,36843,110651,10,Food
Pinterest,0.03,11799.0,1.052821383,18352,60740,1,Home
Twitter,0.09,14677.57,2.34,37933,113878,8,Food
Twitter,0.02,12192.8,7.05,32282,97141,2,Fashion
Instagram,0.08,8490.23,5.76,22260,67453,4,Health
Instagram,0.13,15000.0,2.72,38594,115837,7,Fashion
Twitter,0.07,2444.39,3.56,5971,19206,3,Home
Pinterest,0.13,11200.11,0.38609409,17399,57637,1,Food
Pinterest,0.05,9812.28,0.017874726,15184,50423,1,Food
Pinterest,0.01,9766.89,0.604165751,15109,50179,1,Technology
Facebook,0.14,3923.44,0.31,9830,30636,9,Home
Instagram,0.03,9381.0,1.63,24650,74535,4,Fashion
Twitter,0.03,4079.94,7.81,10260,31910,10,Technology
Twitter,0.13,14768.8,3.0,38078,114309,6,Food
Facebook,0.08,7157.09,3.44,18622,56680,8,Food
Pinterest,0.15,12395.45,1.08499589,19272,63734,1,Fashion
Instagram,0.02,8796.56,0.1,23083,69893,4,Fashion
Twitter,0.05,11194.74,2.19,29610,89227,8,Technology
Twitter,0.14,9273.31,4.33,24362,73681,1,Food
Twitter,0.15,12300.9,5.21,32563,97972,3,Fashion
Facebook,0.04,13897.51,7.59,36449,109484,5,Fashion
Instagram,0.02,5624.91,5.99,14478,44406,8,Fashion
Instagram,0.12,3272.18,1.22,8083,25461,2,Fashion
Twitter,0.03,12213.38,1.27,32336,97301,7,Technology
Twitter,0.11,11835.49,1.03,31340,94350,1,Food
Pinterest,0.02,6939.07,1.186881831,10591,35467,1,Health
Facebook,0.11,7636.13,0.63,19913,60503,1,Food
Pinterest,0.06,10803.47,0.334257383,16760,55556,1,Fashion
Facebook,0.04,5814.1,2.84,14988,45914,1,Health
Pinterest,0.15,13252.5,0.704264219,20555,67912,1,Fashion
Instagram,0.14,12283.79,2.69,32516,97834,8,Fashion
Facebook,0.11,2663.5,2.08,6514,20816,2,Fashion
Facebook,0.07,1437.61,1.44,3680,12421,5,Home
Instagram,0.09,12093.22,0.21,32012,96340,4,Fashion
Facebook,0.04,2169.88,5.07,5309,17245,9,Technology
Twitter,0.02,9531.22,7.43,25067,75768,5,Health
Facebook,0.13,5300.4,1.47,13596,41792,5,Fashion
Facebook,0.03,5399.42,0.71,13859,42571,2,Food
Pinterest,0.13,12137.81,1.076058527,18870,62424,1,Health
Twitter,0.13,10224.39,1.26,26965,81392,2,Home
Facebook,0.12,12996.78,4.93,34372,103331,6,Home
Twitter,0.09,10198.86,7.3,26896,81186,6,Fashion
Instagram,0.07,2146.93,5.26,5254,17082,7,Food
Twitter,0.11,556.68,5.72,2166,7937,3,Fashion
Twitter,0.11,5978.39,1.88,15445,47269,6,Home
Instagram,0.01,9785.64,1.54,25778,77875,8,Food
Twitter,0.06,11062.07,4.97,29247,88149,10,Fashion
Instagram,0.14,12110.14,4.86,32057,96474,4,Home
Instagram,0.03,3124.54,2.95,7704,24339,7,Food
Twitter,0.07,728.98,6.06,2410,8657,7,Food
Facebook,0.03,15000.0,4.94,38431,115354,9,Fashion
Pinterest,0.14,7763.0,1.061758746,11905,39745,1,Home
Pinterest,0.09,10230.15,0.656002458,15847,52581,1,Fashion
Instagram,0.1,11685.12,0.62,30936,93154,7,Food
Twitter,0.06,8109.76,5.3,21215,64358,10,Technology
Facebook,0.08,1771.11,1.98,4373,14473,1,Home
Pinterest,0.02,7413.82,1.347754368,11337,37898,1,Food
Twitter,0.12,9506.59,2.73,24997,75562,9,Home
Pinterest,0.15,13419.21,0.244883751,20786,68664,1,Technology
Pinterest,0.06,10809.08,1.421040746,16770,55586,1,Fashion
Instagram,0.15,12753.16,2.74,33750,101488,7,Home
Instagram,0.02,5702.06,6.65,14683,45012,8,Technology
Pinterest,0.02,10450.25,0.050049234,16195,53716,1,Health
Facebook,0.08,11586.47,7.74,30680,92394,6,Fashion
Twitter,0.12,2038.49,1.38,4993,16309,2,Home
Facebook,0.08,6163.57,2.29,15940,48735,10,Home
Pinterest,0.15,8243.2,0.050049234,12675,42254,1,Home
Twitter,0.07,8174.14,7.82,21393,64886,1,Health
Pinterest,0.09,13404.07,0.066136488,20764,68592,1,Technology
Facebook,0.1,4226.48,2.09,10666,33114,2,Food
Twitter,0.14,14790.73,7.07,38110,114403,10,Health
Instagram,0.09,11179.38,0.98,29566,89095,4,Fashion
Pinterest,0.02,5362.96,0.302082876,8080,27292,1,Technology
Twitter,0.05,8512.19,4.83,22321,67634,4,Fashion
Pinterest,0.05,11970.74,1.358479204,18614,61593,1,Fashion
Instagram,0.06,11444.93,0.55,30291,91244,10,Food
Instagram,0.1,11260.62,1.47,29788,89752,8,Home
Pinterest,0.02,10897.55,1.304855025,16912,56050,1,Health
Twitter,0.13,6399.34,1.55,16580,50630,10,Technology
Facebook,0.07,14805.74,5.26,38130,114462,2,Technology
Twitter,0.11,7585.92,4.17,19779,60107,4,Home
Twitter,0.09,7052.94,1.51,18339,55842,2,Technology
Pinterest,0.1,10437.18,1.324517224,16174,53648,1,Technology
Pinterest,0.07,9241.19,1.120745343,14258,47408,1,Technology
Instagram,0.04,9758.66,1.94,25703,77652,10,Health
Twitter,0.14,500.0,5.96,603,3307,2,Technology
Twitter,0.14,500.0,6.9,954,4345,1,Home
Pinterest,0.07,8059.26,1.317367333,12379,41291,1,Home
Facebook,0.01,3925.76,4.54,9836,30656,3,Technology
Instagram,0.04,2366.26,3.56,5787,18661,10,Health
Twitter,0.04,11926.12,0.21,31578,95054,5,Technology
Instagram,0.08,7363.22,1.06,19171,58305,3,Technology
Pinterest,0.08,11217.49,1.124320288,17428,57732,1,Home
Pinterest,0.09,11403.09,0.142997811,17721,58684,1,Health
Pinterest,0.09,1648.42,0.992047313,2413,8842,1,Technology
Twitter,0.09,6941.45,4.16,18039,54951,3,Health
Instagram,0.08,9794.64,4.92,25802,77946,5,Food
Instagram,0.04,9962.09,7.17,26246,79260,4,Technology
Instagram,0.01,791.25,0.31,2503,8935,8,Fashion
Pinterest,0.08,12366.92,0.570203771,19229,63595,1,Technology
Twitter,0.12,13015.21,7.37,34416,103461,4,Fashion
Pinterest,0.08,3188.51,0.12869803,4619,16022,1,Fashion
Pinterest,0.11,4690.18,0.069711433,7006,23796,1,Health
Twitter,0.07,8307.38,7.85,21761,65975,2,Home
Pinterest,0.13,6075.78,0.126910557,9225,31019,1,Home
Instagram,0.02,2125.29,1.17,5200,16924,1,Health
Instagram,0.04,4257.87,4.05,10749,33360,6,Health
Instagram,0.13,11919.13,0.33,31560,95000,5,Food
Instagram,0.08,15000.0,3.59,38867,116644,10,Health
Instagram,0.14,6860.82,3.79,17817,54294,8,Technology
Instagram,0.12,5190.63,3.28,13301,40917,3,Home
Pinterest,0.09,7085.17,0.591653443,10823,36222,1,Health
Pinterest,0.11,8701.13,0.627402895,13408,44639,1,Fashion
Twitter,0.02,3773.18,6.08,9425,29436,2,Technology
Facebook,0.09,2113.86,7.28,5173,16843,2,Technology
Instagram,0.02,15000.0,0.26,38953,116901,8,Fashion
Pinterest,0.1,752.24,0.523729483,1434,5653,1,Health
Facebook,0.07,7000.87,2.6,18205,55443,7,Home
Instagram,0.02,11660.78,1.0,30878,92981,3,Fashion
Facebook,0.11,7232.09,1.07,18829,57293,8,Food
Pinterest,0.03,10788.46,1.379928876,16737,55480,1,Fashion
Instagram,0.15,10898.94,5.47,28799,86822,6,Fashion
Instagram,0.05,3742.6,4.63,9341,29187,1,Home
Facebook,0.12,14352.91,5.03,37367,112203,3,Home
Facebook,0.05,6351.51,7.29,16449,50242,9,Health
Pinterest,0.14,8597.64,0.832962249,13247,44116,1,Home
Instagram,0.1,8514.85,7.0,22329,67659,5,Food
Pinterest,0.09,1675.89,1.417465801,2450,8959,1,Technology
Twitter,0.07,15000.0,5.14,38895,116729,9,Home
Pinterest,0.13,8219.22,0.092948577,12636,42126,1,Food
Facebook,0.09,944.09,0.94,2764,9706,2,Food
Pinterest,0.13,15000.0,0.157297592,22761,75097,1,Food
Twitter,0.02,4458.89,0.18,11294,34975,8,Health
Instagram,0.15,7077.49,0.29,18406,56040,3,Food
Facebook,0.14,7751.89,6.43,20236,61459,3,Home
Instagram,0.1,6730.01,5.88,17461,53239,2,Food
Facebook,0.07,8226.61,1.08,21536,65310,3,Home
Twitter,0.01,12344.11,6.22,32677,98312,8,Fashion
Instagram,0.09,9388.76,6.31,24672,74598,6,Fashion
Pinterest,0.09,15000.0,0.763250816,22915,75597,1,Food
Instagram,0.08,3428.9,5.38,8498,26691,8,Home
Twitter,0.13,4919.34,5.94,12555,38708,9,Food
Twitter,0.13,12676.86,3.21,33548,100891,4,Health
Instagram,0.01,5893.11,3.81,15204,46555,6,Fashion
Pinterest,0.12,10004.72,1.310217443,15484,51400,1,Home
Twitter,0.06,11454.23,0.68,30316,91316,3,Home
Instagram,0.03,13470.82,1.51,35512,106708,9,Technology
Pinterest,0.07,1957.1,0.289570567,2820,10166,1,Health
Twitter,0.1,15000.0,6.02,39293,117908,6,Food
Pinterest,0.01,3214.11,0.446868159,4658,16150,1,Fashion
Facebook,0.03,4958.22,1.32,12655,39006,6,Technology
Facebook,0.07,15000.0,6.71,39006,117058,5,Food
Facebook,0.13,2887.82,1.09,7084,22504,2,Home
Facebook,0.05,2644.31,0.93,6466,20672,10,Home
Twitter,0.14,6707.87,0.41,17397,53050,5,Fashion
Pinterest,0.15,4833.06,0.591653443,7232,24530,1,Fashion
Twitter,0.09,12120.24,1.81,32084,96553,4,Home
Facebook,0.04,13925.91,3.16,36515,109677,10,Food
Pinterest,0.02,15000.0,0.934848189,22616,74622,1,Fashion
Twitter,0.13,11538.23,4.27,30546,91997,3,Health
Twitter,0.09,6681.86,3.0,17327,52844,8,Technology
Instagram,0.15,500.0,7.56,1306,5387,4,Food
Twitter,0.13,6431.35,2.72,16661,50871,5,Fashion
Instagram,0.09,9403.53,4.57,24715,74727,8,Health
Pinterest,0.12,9305.22,0.879436537,14359,47736,1,Fashion
Pinterest,0.13,2388.08,0.008937363,3429,12147,1,Home
Facebook,0.05,15000.0,1.87,39488,118485,2,Technology
Twitter,0.02,2336.99,4.4,5714,18446,2,Home
Facebook,0.04,7583.21,1.29,19773,60088,2,Home
Facebook,0.15,6818.33,0.18,17704,53959,2,Technology
Pinterest,0.05,14408.89,1.429978109,22006,72637,1,Technology
Instagram,0.13,4078.55,6.21,10256,31897,2,Food
Twitter,0.09,12401.74,0.1,32830,98764,6,Health
Facebook,0.11,14622.98,2.94,37847,113625,5,Technology
Instagram,0.15,2310.85,0.96,5650,18255,7,Fashion
Pinterest,0.06,1301.2,0.931273244,2004,7508,1,Fashion
Pinterest,0.13,12654.96,1.217268866,19670,65031,1,Technology
Instagram,0.12,9597.9,3.92,25249,76309,4,Health
Pinterest,0.07,5306.16,0.436143323,7995,27014,1,Technology
Twitter,0.05,8797.23,2.66,23085,69897,6,Food
Twitter,0.08,5866.89,7.34,15136,46354,5,Food
Instagram,0.01,8213.84,5.1,21499,65200,8,Home
Facebook,0.15,12519.44,4.81,33134,99663,9,Fashion
Pinterest,0.04,10256.25,0.664939821,15887,52714,1,Food
Pinterest,0.03,9514.63,0.958085333,14694,48829,1,Food
Facebook,0.04,7999.63,1.62,20912,63463,4,Food
Pinterest,0.07,13936.55,1.288767771,21459,70856,1,Technology
Pinterest,0.13,2904.32,0.09473605,4185,14608,1,Food
Instagram,0.04,15000.0,5.76,39933,119802,8,Fashion
Twitter,0.15,6630.42,4.07,17189,52435,8,Home
Instagram,0.13,500.0,6.28,1698,6549,6,Food
Facebook,0.1,13045.55,6.8,34491,103683,3,Fashion
Facebook,0.09,3258.63,2.95,8047,25355,3,Fashion
Instagram,0.1,886.27,7.84,2661,9403,6,Food
Instagram,0.1,10485.24,2.65,27677,83501,4,Home
Pinterest,0.08,6739.81,1.429978109,10270,34423,1,Technology
Facebook,0.08,5933.65,1.82,15320,46898,1,Home
Pinterest,0.06,3579.81,0.91518599,5228,18007,1,Home
Pinterest,0.09,13840.91,1.208331502,21340,70468,1,Technology
Pinterest,0.06,4469.2,0.082223741,6651,22639,1,Home
Pinterest,0.15,15000.0,1.317367333,22837,75341,1,Technology
Pinterest,0.14,13088.04,1.267318099,20318,67141,1,Home
Twitter,0.02,10054.76,3.9,26500,80014,8,Home
Pinterest,0.07,7933.69,0.157297592,12175,40627,1,Technology
Pinterest,0.06,14217.49,0.65064004,21799,71965,1,Technology
Instagram,0.03,13023.93,1.31,34439,103530,5,Technology
Pinterest,0.02,9441.17,0.048261761,14574,48438,1,Fashion
Facebook,0.11,6473.98,4.68,16775,51208,8,Food
Pinterest,0.01,4135.9,0.412906179,6115,20896,1,Food
Twitter,0.13,15000.0,4.21,39707,119134,9,Health
Pinterest,0.03,4547.61,0.523729483,6777,23050,1,Fashion
Pinterest,0.15,14379.51,0.893736318,21976,72537,1,Fashion
Facebook,0.02,12820.32,6.5,33925,102008,7,Fashion
Facebook,0.11,13698.61,6.14,36022,108218,5,Fashion
Facebook,0.12,8349.8,5.61,21874,66310,9,Technology
Instagram,0.01,1751.21,4.36,4330,14346,4,Fashion
Pinterest,0.07,12585.78,1.34239195,19563,64683,1,Fashion
Facebook,0.12,10950.02,3.82,28934,87224,4,Food
Instagram,0.02,9833.67,5.32,25911,78269,1,Food
Facebook,0.04,13031.75,0.41,34456,103580,9,Health
Pinterest,0.06,7734.44,1.397803602,11857,39591,1,Fashion
Pinterest,0.05,7296.21,0.963447751,11158,37313,1,Home
